Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
134.221.96.4-104.32.0.21-0-0-0,134.221.96.4,0,104.32.0.21,0,0,05-01-2024 08:02,90728989,2,1,0,0,0,0,0,0,0,0,0,0,0,0.033065507,4.54E+07,128585.2468,4.55E+07,4.53E+07,4.55E+07,4.55E+07,0,4.55E+07,4.55E+07,0,0,0,0,0,0,0,0,0,0,0,0.022043671,0.011021836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,4.54E+07,128585.2468,4.55E+07,4.53E+07,No Label
134.221.96.5-205.88.0.20-0-0-0,134.221.96.5,0,205.88.0.20,0,0,05-01-2024 08:01,39941555,1,1,0,0,0,0,0,0,0,0,0,0,0,0.050073163,3.99E+07,0,3.99E+07,3.99E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025036582,0.025036582,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,3.99E+07,0,3.99E+07,3.99E+07,No Label
134.221.96.0-0.0.0.56-0-0-0,134.221.96.0,0,0.0.0.56,0,0,05-01-2024 08:02,114215391,20,1,0,0,0,0,0,0,0,0,0,0,0,0.183863136,5710769.55,2941422.863,9523451,551,1.09E+08,5747193.158,3017387.23,9523451,551,0,0,0,0,0,0,0,0,0,0,0,0.175107749,0.008755387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,-1,-1,0,0,4535570,3010954.36,7918603,551,7909270.091,1458042.725,9523451,5018721,No Label
138.199.14.90-192.168.0.119-443-51812-6,192.168.0.119,51812,138.199.14.90,443,6,05-01-2024 08:02,115382699,23,23,12,0,1,0,0.52173913,0.510753918,0,0,0,0,0.104001727,0.398673288,2564059.978,4230059.28,1.00E+07,0,1.15E+08,5238002.182,5161075.548,1.09E+07,1482,1.15E+08,5244668.136,4944933.818,1.09E+07,0,0,0,0,0,460,604,0.199336644,0.199336644,0,1,0.255319149,0.440754546,0.19426457,0,0,0,0,1,0,0,0,1,0.260869565,0.52173913,0,0,0,0,0,0,0,23,12,23,0,-1,501,12,0,536860.7273,245095.0352,898656,144967,9905614,201439.3565,1.00E+07,9401027,No Label
192.168.0.119-20.198.118.190-49424-443-6,192.168.0.119,49424,20.198.118.190,443,6,05-01-2024 08:00,90812713,4,4,100,1250,100,0,25,50,416,171,312.5,123.473344,14.86576004,0.088093393,1.30E+07,3.39E+07,9.00E+07,77,9.06E+07,3.02E+07,5.18E+07,9.00E+07,186955,9.08E+07,3.03E+07,5.18E+07,9.01E+07,214814,0,1,0,0,92,80,0.044046696,0.044046696,0,416,177.4444444,167.3291002,27999.02778,0,0,0,1,1,0,0,0,1,199.625,25,312.5,0,0,0,0,0,0,4,100,4,1250,-1,7499,1,0,673050,0,673050,673050,9.00E+07,0,9.00E+07,9.00E+07,No Label
134.221.96.0-0.0.0.32-0-0-0,134.221.96.0,0,0.0.0.32,0,0,05-01-2024 08:02,119995646,9,1,0,0,0,0,0,0,0,0,0,0,0,0.083336357,1.33E+07,2.62E+07,6.95E+07,0,1.20E+08,1.50E+07,2.75E+07,6.95E+07,0,0,0,0,0,0,0,0,0,0,0,0,0.075002721,0.008333636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,-1,-1,0,0,1484787.5,2099728.838,2969520,55,5.85E+07,1.55E+07,6.95E+07,4.76E+07,No Label
192.168.0.119-40.126.18.32-52105-443-6,192.168.0.119,52105,40.126.18.32,443,6,05-01-2024 08:05,1776426,10,17,5446,16264,1440,0,544.6,632.5836264,1440,0,956.7058824,655.7936761,12221.16767,15.19905698,68324.07692,183276.5431,802380,0,957843,106427,263284.1601,802727,0,1776426,111026.625,227960.3401,805829,0,0,0,0,0,212,364,5.629280364,9.569776619,0,1440,775.3571429,671.5172546,450935.4233,0,1,0,0,0,0,0,0,1,804.0740741,544.6,956.7058824,0,0,0,0,0,0,10,5446,17,16264,-1,49156,7,0,0,0,0,0,0,0,0,0,No Label
192.168.0.119-20.42.65.91-52102-443-6,192.168.0.119,52102,20.42.65.91,443,6,05-01-2024 08:03,92539612,9,12,1372,6594,681,0,152.4444444,282.469074,1440,0,549.5,675.5570765,86.08205533,0.226929847,4626980.6,1.38E+07,4.50E+07,0,9.18E+07,1.15E+07,2.08E+07,4.55E+07,735,9.25E+07,8412692,1.83E+07,4.55E+07,0,0,0,0,0,180,288,0.097255649,0.129674198,0,1440,362.0909091,560.8922237,314600.0866,0,1,0,0,0,0,0,0,1,379.3333333,152.4444444,549.5,0,0,0,0,0,0,9,1372,12,6594,-1,16380,5,0,1151231,975199.2462,1840801,461661,4.50E+07,4835.903277,4.50E+07,4.50E+07,No Label
192.168.0.119-40.126.18.32-52105-443-6,192.168.0.119,52105,40.126.18.32,443,6,05-01-2024 08:05,1767,5,1,31,0,31,0,6.2,13.86362146,0,0,0,0,17543.85965,3395.585739,353.4,481.4211254,1210,83,1590,397.5,544.1105892,1210,83,0,0,0,0,0,0,0,0,0,100,20,2829.654782,565.9309564,0,31,4.428571429,11.71689866,137.2857143,0,0,0,0,1,0,0,0,0,5.166666667,6.2,0,0,0,0,0,0,0,5,31,1,0,-1,517,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.119-20.42.65.91-52101-443-6,192.168.0.119,52101,20.42.65.91,443,6,05-01-2024 08:03,94040668,18,19,5572,7248,1440,0,309.5555556,493.7739686,1440,0,381.4736842,581.7832136,136.3239997,0.393446801,2612240.778,1.04E+07,4.50E+07,0,9.29E+07,5466982.294,1.50E+07,4.55E+07,0,9.40E+07,5224481.556,1.47E+07,4.58E+07,0,0,0,0,0,372,440,0.191406552,0.202040249,0,1440,337.3684211,530.2220046,281135.3741,0,1,0,0,0,0,0,0,1,346.4864865,309.5555556,381.4736842,0,0,0,0,0,0,18,5572,19,7248,-1,16385,12,0,1642982.5,1639154.836,2802040,483925,4.50E+07,9997.782779,4.50E+07,4.50E+07,No Label
